date,sessions,purchases,revenue
2025-02-28,12105,43,6669.22
2025-03-01,13223,42,6968.23
2025-03-02,15147,53,8752.65
2025-03-03,13842,53,10116.62
2025-03-04,13819,55,9924.41
2025-03-05,13721,62,13598.72
2025-03-06,12638,56,12256.38
2025-03-07,12035,42,7348.44
2025-03-08,13108,58,9799.25
2025-03-09,13994,47,10030.27
2025-03-10,13480,64,11528.99
2025-03-11,13153,72,14839.19
2025-03-12,14635,95,18177.5
2025-03-13,12776,47,8579.3
2025-03-14,12669,57,11686.94
2025-03-15,13810,51,10443.75
2025-03-16,14327,63,11240.35
2025-03-17,13044,53,8496.92
2025-03-18,13145,66,10976.88
2025-03-19,13494,69,12893.55
2025-03-20,12797,57,11859.34
2025-03-21,12551,60,12431.07
2025-03-22,14449,46,8952.06
2025-03-23,16277,54,11797.18
2025-03-24,14022,61,13285.42
2025-03-25,13793,65,14158.2
2025-03-26,13476,51,8261.16
2025-03-27,12523,51,10213.55
2025-03-28,12382,54,9297.46
2025-03-29,13547,61,14736.16
2025-03-30,14812,75,13463.1
2025-03-31,13381,40,6301.25
2025-04-01,13068,75,13129.19
2025-04-02,13465,82,15531.93
2025-04-03,12331,58,10571.99
2025-04-04,12506,39,6963.7
2025-04-05,13442,47,8550.98
2025-04-06,15127,48,6917.79
2025-04-07,14462,67,11350.69
2025-04-08,13849,45,8856.35
2025-04-09,12643,58,11025.68
2025-04-10,13775,83,13983.72
2025-04-11,13321,113,18875.4
2025-04-12,14591,65,10841.75
2025-04-13,16456,66,10653.64
2025-04-14,15094,35,5811.57
2025-04-15,13719,50,9132.24
2025-04-16,12834,64,13720.94
2025-04-17,12073,82,19213.47
2025-04-18,13452,61,10892.99
2025-04-19,13502,52,10351.04
2025-04-20,14107,51,10740.63
2025-04-21,13715,66,14730.61
2025-04-22,12968,56,12858.65
2025-04-23,12651,68,11481.21
2025-04-24,12354,38,7543.44
2025-04-25,11477,39,8029.1
