style_color,inventory_class,season_code,last_receipt_date,first_sale_date,us_ecom_oh_u,inventory_feed,oo_u,image,online,msrp,sale_price,promo,category_reg_sale,notes,holds,new_arrivals,meta_source_file,meta_sheet_name,meta_file_timestamp,meta_extracted_timestamp
205765-HWSD,OP,22M1,5/17/2022,44702,1,469,0,YES,LIVE,159,99.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
205773-1800,OP,22M1,4/28/2022,,0,0,0,YES,,129,79.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
206211-2SBD,FP,23S2,2/7/2023,44972,17,15,0,YES,LIVE,169,109.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
206215-IBDD,FP,23S1,12/19/2022,44942,6,12,0,YES,LIVE,159,134.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
206234-IBG1,FP,23S2,3/14/2023,44979,222,236,0,YES,LIVE,159,99.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
206236-IBH1,FP,23S1,2/23/2023,,0,1,0,YES,LIVE,159,134.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
206241-IBJM,FP,23S2,3/29/2023,44972,28,46,0,YES,LIVE,119,99.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
206242-IBID,FP,23S2,12/21/2023,44951,542,772,0,YES,LIVE,119,119,79,REG,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
206242P-IBID,FP,24S1,12/21/2023,45310,145,144,0,YES,LIVE,119,119,79,REG,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
206243-IBFL,FP,23S2,2/8/2023,44979,35,42,0,YES,LIVE,119,99.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
